UA;SU;SUBP1;SUBP2;SUBP3;SUBP4;SUBP5;SUBP6;SUBP7;SUBP8;SUBP9;SUBP10;CONT_TOCO;FLORESTA;ARVORES;NATURAL;AGRICULTURA;OUTRAS
ES_64;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_64;3;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_64;4;55;55;55;55;55;55;55;55;55;55;0;0.0;0.0;0.0;0.0;1.0
ES_65;1;51;51;51;51;51;51;51;51;51;58;0;0.0;0.0;0.0;0.0;1.0
ES_65;2;51;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;0.9;0.1
ES_65;3;113;42;51;113;51;51;113;113;113;113;0;0.6;0.0;0.0;0.1;0.3
ES_65;4;42;42;42;42;42;42;42;42;42;42;0;0.0;0.0;0.0;1.0;0.0
ES_66;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_66;2;45;45;45;45;45;45;45;45;58;58;0;0.0;0.0;0.0;0.8;0.2
ES_66;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_66;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_67;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_67;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_67;3;45;113;113;45;45;113;113;45;45;45;0;0.4;0.0;0.0;0.6;0.0
ES_67;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_68;1;45;45;45;45;58;45;58;58;58;58;0;0.0;0.0;0.0;0.5;0.5
ES_68;2;58;58;58;58;58;58;58;58;58;58;0;0.0;0.0;0.0;0.0;1.0
ES_68;3;113;113;113;113;45;45;45;45;58;58;2;0.4;0.0;0.0;0.4;0.2
ES_69;1;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_69;2;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_69;3;58;45;58;58;58;58;58;58;58;58;0;0.0;0.0;0.0;0.1;0.9
ES_69;4;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_7;1;57;57;57;57;57;57;57;57;57;57;0;0.0;0.0;0.0;0.0;1.0
ES_7;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_7;3;113;57;57;57;57;57;57;57;57;57;0;0.1;0.0;0.0;0.0;0.9
ES_7;4;57;57;57;57;57;57;57;57;57;113;0;0.1;0.0;0.0;0.0;0.9
ES_70;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_70;2;55;55;55;55;55;55;55;55;55;55;0;0.0;0.0;0.0;0.0;1.0
ES_71;1;113;45;45;113;113;45;113;113;55;55;0;0.5;0.0;0.0;0.3;0.2
ES_71;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_71;3;51;51;51;51;55;55;45;45;45;45;0;0.0;0.0;0.0;0.4;0.6
ES_71;4;45;45;45;45;55;55;45;45;45;45;0;0.0;0.0;0.0;0.8;0.2
ES_72;1;111;111;111;111;111;111;111;111;111;111;0;1.0;0.0;0.0;0.0;0.0
ES_72;2;111;111;111;111;111;111;111;111;111;111;0;1.0;0.0;0.0;0.0;0.0
ES_72;3;51;51;51;51;51;51;51;51;51;51;0;0.0;0.0;0.0;0.0;1.0
ES_72;4;111;111;111;111;111;111;111;111;111;111;0;1.0;0.0;0.0;0.0;0.0
ES_73;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_73;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_73;3;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_73;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_74;1;112;112;112;112;112;112;112;112;112;113;0;1.0;0.0;0.0;0.0;0.0
ES_74;2;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_74;3;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_74;4;19;19;19;19;19;19;19;19;19;19;0;1.0;0.0;0.0;0.0;0.0
ES_75;1;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_75;2;113;113;113;113;113;113;113;45;45;45;0;0.7;0.0;0.0;0.3;0.0
ES_75;3;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_75;4;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_76;1;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_76;2;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_76;3;42;42;42;42;42;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_76;4;45;45;45;45;45;45;45;45;45;45;0;0.0;0.0;0.0;1.0;0.0
ES_77;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_77;2;113;55;55;113;55;113;113;113;113;113;0;0.7;0.0;0.0;0.0;0.3
ES_77;3;113;113;113;113;58;58;113;113;113;113;0;0.8;0.0;0.0;0.0;0.2
ES_77;4;113;113;113;113;19;19;19;19;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_78;1;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_78;2;113;113;113;113;113;113;113;113;113;113;0;1.0;0.0;0.0;0.0;0.0
ES_78;3;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_78;4;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
ES_79;1;112;112;112;112;51;51;45;113;113;58;0;0.6;0.0;0.0;0.1;0.3
ES_79;2;112;112;112;112;112;112;112;112;112;112;0;1.0;0.0;0.0;0.0;0.0
